run_id,task_id,prompt_run_id,owner,device,status,method,data_manifest,git_commit,seed,metrics,conclusion,reviewer,pr
q2-m0-baseline-audit-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,M0 B1 baseline freeze and scope audit,scripts/q2_m0_baseline_audit.py,,20260925,experiments/runs/q2-m0-baseline-audit-20250925-r01/metrics.json,Frozen as exploratory B1 baseline; universal cross-source law remains unclaimed,ACTOR-2,
q2-m0-baseline-audit-20260925-r02,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,FROZEN_B1_BASELINE_EXPLORATORY,scripts/q2_m0_baseline_audit.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-m0-baseline-audit-20260925-r02/metrics.json,8 grouped N-size folds; internal R2 0.9999992-0.9999998; B2/B4/B5 kept as separate external diagnostics; no universal-law claim,ACTOR-2,-
q2-m1-sensitivity-audit-20250925-r01,T-Q2-MIGRATION,,ACTOR-1,DEVICE-LOCAL-CODEX,REVIEW_BLOCKED,M1 B6/B7 semi-synthetic sensitivity scope audit,scripts/q2_m1_sensitivity_audit.py,,20260925,experiments/runs/q2-m1-sensitivity-audit-20250925-r01/metrics.json,Frozen as conditional exploratory sensitivity; B7 extension not independent validation,ACTOR-2,
q2-m1-sensitivity-audit-20260925-r02,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,FROZEN_B6_B7_SEMISYNTHETIC_EXPLORATORY,scripts/q2_m1_sensitivity_audit.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-m1-sensitivity-audit-20260925-r02/metrics.json,5 grouped N-D cell folds; R2 0.9526-0.9705; G mean 0.3622; B7 extension nested; B8 excluded; no causal claim,ACTOR-2,-
q2-exploratory-summary-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,EXPLORATORY_Q2_AUDIT_COMPLETE_FORMAL_FIT_BLOCKED,scripts/q2_exploratory_summary.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-exploratory-summary-20260925-r01/metrics.json,Q1-derived Q/p interface and B1/B6/B7 audits consolidated; 7 anchors plus 11 inferred priors; no A-B row join or formal joint fit,ACTOR-2,-
q2-interface-reaudit-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,BLOCKED_FORMAL_JOINT_MIGRATION,scripts/q2_interface_reaudit.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-interface-reaudit-20260925-r01/metrics.json,Current Q1/A16/B6-B8 read-only re-audit; 6/17 candidate mappings; no A-B key; B8 unresolved; no model fit,ACTOR-2,-
q2-progress-alignment-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,ALIGNMENT_RECONCILED_FORMAL_GATE_BLOCKED,scripts/q2_progress_alignment.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-progress-alignment-20260925-r01/metrics.json,Reconciles canonical G0 gate with newer exploratory Q/p artifacts; 6 validated mixture mappings vs 7 anchor scores; formal joint fit remains blocked,ACTOR-2,-
q2-conditional-bridge-decision-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,USER_CONFIRMED_CONDITIONAL_MIGRATION_NO_ROW_KEY,docs/decisions/q2-conditional-bridge-decision-20260925.md,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-conditional-bridge-decision-20260925-r01/metrics.json,User confirmed no unique A-B sample ID; freezes conditional domain/scenario bridge and rules out row-level joint fit from current files,ACTOR-2,-
q2-elasticity-audit-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,EXPLORATORY_MODEL_INTERNAL_ELASTICITY_AUDIT,scripts/q2_elasticity_audit.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-elasticity-audit-20260925-r01/metrics.json,"Frozen M0/M1 local elasticities and Q_score counterfactual; no Q1 Q conversion, A-B join, B8 use, or refit",ACTOR-2,-
q2-answer-package-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,CONDITIONAL_Q2_ANSWER_PACKAGE_READY,docs/decisions/q2-answer-package-20260925.md,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-answer-package-20260925-r01/metrics.json,"B1/B3/B4/B5/B6/B7 layered results, model-internal elasticities, Q/p scenarios, and explicit B8 exclusion packaged; formal joint fit remains unavailable",ACTOR-2,-
q2-four-quantity-conditional-preflight-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,FOUR_QUANTITY_CONDITIONAL_INTERFACE_READY_NOT_IDENTIFIED,scripts/q2_four_quantity_conditional_preflight.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-four-quantity-conditional-preflight-20260925-r01/metrics.json,"N,D,Q,p represented in a conditional interface; p simplex and Q checks pass; G_bridge and independent p effect remain unidentified",ACTOR-2,-
q2-qp-interface-preflight-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,Q2_QP_INTERFACE_PREFLIGHT_EXPLORATORY,read-only preflight of the approved Q1 LaTeX quality and 17-domain mixture interface before Q2 fitting,scripts/q2_qp_interface_preflight.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,20260925,experiments/runs/q2-qp-interface-preflight-20260925-r01/metrics.json,1214 rows and 17 p columns pass finite range interval duplicate and role checks; no A-B row join and no scaling-law fit,ACTOR-2,-
q2-qp-scenario-sensitivity-20260925-r01,T-Q2-MIGRATION,,B,DEVICE-LOCAL-CODEX,Q2_QP_SCENARIO_SENSITIVITY_EXPLORATORY,scripts/q2_qp_scenario_sensitivity.py,d3f92c9acf68c625aa00fcad0f04b9fce4c0b168,,20260925,experiments/runs/q2-qp-scenario-sensitivity-20260925-r01/metrics.json,"5 Q/p scenarios including baseline and simultaneous c4 sensitivity; baseline reconstruction error 8.5e-14; no p perturbation, A-B join, or Q2 fit",ACTOR-2,-
