dataset,role,scale,loss_observed,index,mixture_domain,proportion_raw,proportion_normalized,mapping_type_A16,official_quality_domain_A16,candidate_quality_domains,candidate_weights,q_soft_0_1,q_semantic_range_low_0_1,q_semantic_range_high_0_1,q_semantic_range_width,mapping_confidence,rationale,weighted_soft_quality_contribution,weighted_soft_low_contribution,weighted_soft_high_contribution
A4_A5_train_1m,train,1m,True,23,arxiv,0.002,0.002,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,9.2387287509238e-06,9.2387287509238e-06,9.2387287509238e-06
A4_A5_train_1m,train,1m,True,24,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,25,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,26,arxiv,0.377,0.3773773773773773,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0017432436131622983,0.0017432436131622983,0.0017432436131622983
A4_A5_train_1m,train,1m,True,27,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,28,arxiv,0.013,0.013013013013013,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,6.011184872973438e-05,6.011184872973438e-05,6.011184872973438e-05
A4_A5_train_1m,train,1m,True,29,arxiv,0.002,0.0019980019980019,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,9.229499251671675e-06,9.229499251671675e-06,9.229499251671675e-06
A4_A5_train_1m,train,1m,True,30,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,31,arxiv,0.082,0.082,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00037878787878787586,0.00037878787878787586,0.00037878787878787586
A4_A5_train_1m,train,1m,True,32,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,33,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,34,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,35,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,36,arxiv,0.577,0.5775775775775776,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002668041285927444,0.002668041285927444,0.002668041285927444
A4_A5_train_1m,train,1m,True,37,arxiv,0.005,0.0050100200400801,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,2.3143108093496216e-05,2.3143108093496216e-05,2.3143108093496216e-05
A4_A5_train_1m,train,1m,True,38,arxiv,0.009,0.009009009009009,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.1615895274431494e-05,4.1615895274431494e-05,4.1615895274431494e-05
A4_A5_train_1m,train,1m,True,39,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,40,arxiv,0.041,0.0409590409590409,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00018920473465927834,0.00018920473465927834,0.00018920473465927834
A4_A5_train_1m,train,1m,True,41,arxiv,0.034,0.034,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00015705838876570462,0.00015705838876570462,0.00015705838876570462
A4_A5_train_1m,train,1m,True,42,arxiv,0.006,0.0059940059940059,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,2.7688497755015953e-05,2.7688497755015953e-05,2.7688497755015953e-05
A4_A5_train_1m,train,1m,True,43,arxiv,0.327,0.3266733266733267,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0015090231276483931,0.0015090231276483931,0.0015090231276483931
A4_A5_train_1m,train,1m,True,44,arxiv,0.003,0.0029999999999999,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,1.3858093126385238e-05,1.3858093126385238e-05,1.3858093126385238e-05
A4_A5_train_1m,train,1m,True,45,arxiv,0.904,0.903096903096903,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.004171733661755802,0.004171733661755802,0.004171733661755802
A4_A5_train_1m,train,1m,True,46,arxiv,0.008,0.0079920079920079,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,3.691799700668809e-05,3.691799700668809e-05,3.691799700668809e-05
A4_A5_train_1m,train,1m,True,47,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,48,arxiv,0.118,0.118,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0005450849963045042,0.0005450849963045042,0.0005450849963045042
A4_A5_train_1m,train,1m,True,49,arxiv,0.708,0.708,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.003270509977827025,0.003270509977827025,0.003270509977827025
A4_A5_train_1m,train,1m,True,50,arxiv,0.546,0.5459999999999999,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002522172949002197,0.002522172949002197,0.002522172949002197
A4_A5_train_1m,train,1m,True,51,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,52,arxiv,0.064,0.064064064064064,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00029593525528484615,0.00029593525528484615,0.00029593525528484615
A4_A5_train_1m,train,1m,True,53,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,54,arxiv,0.099,0.0989010989010989,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00045686021295777036,0.00045686021295777036,0.00045686021295777036
A4_A5_train_1m,train,1m,True,55,arxiv,0.108,0.108,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0004988913525498852,0.0004988913525498852,0.0004988913525498852
A4_A5_train_1m,train,1m,True,56,arxiv,0.053,0.0528942115768462,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00024433763662622777,0.00024433763662622777,0.00024433763662622777
A4_A5_train_1m,train,1m,True,57,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,58,arxiv,0.019,0.019,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,8.77679231337761e-05,8.77679231337761e-05,8.77679231337761e-05
A4_A5_train_1m,train,1m,True,59,arxiv,0.278,0.2782782782782783,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0012854687651435517,0.0012854687651435517,0.0012854687651435517
A4_A5_train_1m,train,1m,True,60,arxiv,0.311,0.311,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.001436622320768651,0.001436622320768651,0.001436622320768651
A4_A5_train_1m,train,1m,True,61,arxiv,0.022,0.022022022022022,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00010172774400416588,0.00010172774400416588,0.00010172774400416588
A4_A5_train_1m,train,1m,True,62,arxiv,0.11,0.11,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.000508130081300809,0.000508130081300809,0.000508130081300809
A4_A5_train_1m,train,1m,True,63,arxiv,0.029,0.029,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00013396156688839513,0.00013396156688839513,0.00013396156688839513
A4_A5_train_1m,train,1m,True,64,arxiv,0.601,0.6003996003996003,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002773464525127474,0.002773464525127474,0.002773464525127474
A4_A5_train_1m,train,1m,True,65,arxiv,0.091,0.091,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00042036215816703294,0.00042036215816703294,0.00042036215816703294
A4_A5_train_1m,train,1m,True,66,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,67,arxiv,0.003,0.0029970029970029,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,1.3844248877507744e-05,1.3844248877507744e-05,1.3844248877507744e-05
A4_A5_train_1m,train,1m,True,68,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,69,arxiv,0.001,0.001,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6193643754619e-06,4.6193643754619e-06,4.6193643754619e-06
A4_A5_train_1m,train,1m,True,70,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,71,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,72,arxiv,0.038,0.038,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0001755358462675522,0.0001755358462675522,0.0001755358462675522
A4_A5_train_1m,train,1m,True,73,arxiv,0.001,0.0009990009990009,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6147496258356064e-06,4.6147496258356064e-06,4.6147496258356064e-06
A4_A5_train_1m,train,1m,True,74,arxiv,0.626,0.6266266266266266,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002894616715754904,0.002894616715754904,0.002894616715754904
A4_A5_train_1m,train,1m,True,75,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,76,arxiv,0.561,0.5615615615615616,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0025940574721062325,0.0025940574721062325,0.0025940574721062325
A4_A5_train_1m,train,1m,True,77,arxiv,0.001,0.001,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6193643754619e-06,4.6193643754619e-06,4.6193643754619e-06
A4_A5_train_1m,train,1m,True,78,arxiv,0.471,0.471,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.002175720620842555,0.002175720620842555,0.002175720620842555
A4_A5_train_1m,train,1m,True,79,arxiv,0.659,0.659,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0030441611234293922,0.0030441611234293922,0.0030441611234293922
A4_A5_train_1m,train,1m,True,80,arxiv,0.001,0.001,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6193643754619e-06,4.6193643754619e-06,4.6193643754619e-06
A4_A5_train_1m,train,1m,True,81,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,82,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,83,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,84,arxiv,0.154,0.1538461538461538,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0007106714423787537,0.0007106714423787537,0.0007106714423787537
A4_A5_train_1m,train,1m,True,85,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,86,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,87,arxiv,0.179,0.1788211788211788,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0008260401830246553,0.0008260401830246553,0.0008260401830246553
A4_A5_train_1m,train,1m,True,88,arxiv,0.716,0.716,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0033074648928307204,0.0033074648928307204,0.0033074648928307204
A4_A5_train_1m,train,1m,True,89,arxiv,0.064,0.064064064064064,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00029593525528484615,0.00029593525528484615,0.00029593525528484615
A4_A5_train_1m,train,1m,True,90,arxiv,0.576,0.5765765765765766,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0026634172975636182,0.0026634172975636182,0.0026634172975636182
A4_A5_train_1m,train,1m,True,91,arxiv,0.169,0.1691691691691691,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0007814540334865474,0.0007814540334865474,0.0007814540334865474
A4_A5_train_1m,train,1m,True,92,arxiv,0.018,0.018018018018018,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,8.323179054886299e-05,8.323179054886299e-05,8.323179054886299e-05
A4_A5_train_1m,train,1m,True,93,arxiv,0.007,0.007007007007007,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,3.236791854678005e-05,3.236791854678005e-05,3.236791854678005e-05
A4_A5_train_1m,train,1m,True,94,arxiv,0.0,0.0,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0,0.0,0.0
A4_A5_train_1m,train,1m,True,95,arxiv,0.002,0.002002002002002,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,9.247976727651442e-06,9.247976727651442e-06,9.247976727651442e-06
A4_A5_train_1m,train,1m,True,96,arxiv,0.553,0.5535535535535535,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0025570655651956263,0.0025570655651956263,0.0025570655651956263
A4_A5_train_1m,train,1m,True,97,arxiv,0.046,0.0459081836327345,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00021206662801521686,0.00021206662801521686,0.00021206662801521686
A4_A5_train_1m,train,1m,True,98,arxiv,0.013,0.0129870129870129,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,5.999174513586843e-05,5.999174513586843e-05,5.999174513586843e-05
A4_A5_train_1m,train,1m,True,99,arxiv,0.068,0.0679320679320679,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.00031380297455685217,0.00031380297455685217,0.00031380297455685217
A4_A5_train_1m,train,1m,True,100,arxiv,0.232,0.2322322322322322,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,0.0010727653004075682,0.0010727653004075682,0.0010727653004075682
A4_A5_train_1m,train,1m,True,101,arxiv,0.009,0.0089910089910089,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.153274663252416e-05,4.153274663252416e-05,4.153274663252416e-05
A4_A5_train_1m,train,1m,True,102,arxiv,0.01,0.01,direct,arxiv,arxiv,"{""arxiv"":1.0}",0.0046193643754619,0.0046193643754619,0.0046193643754619,0.0,official,A16 official one-to-one mapping,4.6193643754619005e-05,4.6193643754619005e-05,4.6193643754619005e-05
